52500|100|2016-02-22
125000|250|2016-02-22
52500|100|2016-02-22
52500|100|2016-02-22
52500|100|2016-02-22
52500|100|2016-02-22
55125|100|2016-02-22
52920|100|2016-02-22
55566|100|2016-02-22
52500|100|2016-02-22
46305|100|2016-02-22
48510|100|2016-02-22
50400|100|2016-02-22
483000|1000|2016-02-22
51053|100|2016-02-22
121275|300|2016-02-22
141750|342|2016-02-21
50445|100|2016-02-21
55685|100|2016-02-21
62058|100|2016-02-21
150491|300|2016-02-21
44100|100|2016-02-20
396899|900|2016-02-20
33075|100|2016-02-20
336000|700|2016-02-20
43575|100|2016-02-20
85838|200|2016-02-20
42000|100|2016-02-20
54880|100|2016-02-20
52266|100|2016-02-20
47406|100|2016-02-20
42000|100|2016-02-20
44100|100|2016-02-19
44100|100|2016-02-19
441000|1000|2016-02-19
42544|100|2016-02-19
44672|100|2016-02-19
42544|100|2016-02-19
49252|100|2016-02-19
42000|100|2016-02-19
48621|101|2016-02-18
46305|100|2016-02-18
46305|100|2016-02-18
48621|100|2016-02-18
88200|200|2016-02-18
44100|100|2016-02-18
462000|1013|2016-02-18
60638|137|2016-02-18
44100|100|2016-02-18
44100|100|2016-02-17
44672|100|2016-02-17
44672|100|2016-02-17
84000|200|2016-02-17
84000|200|2016-02-17
85086|200|2016-02-17
89341|200|2016-02-17
43050|100|2016-02-17
42000|100|2016-02-17
89717|200|2016-02-17
461893|1000|2016-02-17
41328|100|2016-02-16
42000|100|2016-02-16
42000|100|2016-02-16
42000|100|2016-02-16
42000|100|2016-02-16
441000|1000|2016-02-16
80000|200|2016-02-16
40000|100|2016-02-16
277059|718|2016-02-15
38000|100|2016-02-15
170000|401|2016-02-15
38588|106|2016-02-15
40114|100|2016-02-15
405169|1000|2016-02-15
39567|100|2016-02-15
40842|100|2016-02-15
40114|100|2016-02-15
38290|101|2016-02-14
425428|1000|2016-02-14
40205|101|2016-02-14
38588|100|2016-02-14
121275|300|2016-02-14
39627|100|2016-02-14
420000|1000|2016-02-14
40842|100|2016-02-14
40114|100|2016-02-13
220500|500|2016-02-13
36383|100|2016-02-13
36383|100|2016-02-13
36383|100|2016-02-13
38203|100|2016-02-13
35280|100|2016-02-13
36383|100|2016-02-13
90000|250|2016-02-13
90000|250|2016-02-13
35280|100|2016-02-13
69300|200|2016-02-13
181913|500|2016-02-13
175875|500|2016-02-12
111132|300|2016-02-12
35887|100|2016-02-12
111132|300|2016-02-12
34650|100|2016-02-12
34650|100|2016-02-12
34000|100|2016-02-12
33600|100|2016-02-12
34650|100|2016-02-12
33000|100|2016-02-11
33000|100|2016-02-11
33000|100|2016-02-11
33000|100|2016-02-11
34729|100|2016-02-11
34650|100|2016-02-11
34729|100|2016-02-11
351750|1000|2016-02-11
33600|100|2016-02-11
33050|100|2016-02-11
68250|200|2016-02-10
136500|400|2016-02-10
173250|500|2016-02-10
350000|1000|2016-02-10
70000|200|2016-02-10
34650|101|2016-02-10
32000|100|2016-02-10
33000|100|2016-02-10
360000|1000|2016-02-10
33000|100|2016-02-09
33000|100|2016-02-09
33000|100|2016-02-09
33000|100|2016-02-09
33000|100|2016-02-09
34650|100|2016-02-09
367500|1000|2016-02-09
350000|1000|2016-02-09
370440|1000|2016-02-09
245000|700|2016-02-09
33600|100|2016-02-09
70560|200|2016-02-09
34650|100|2016-02-09
360999|1000|2016-02-09
33600|100|2016-02-08
34965|101|2016-02-08
33000|100|2016-02-08
33000|100|2016-02-08
33000|100|2016-02-08
33000|100|2016-02-08
33000|100|2016-02-08
33000|100|2016-02-08
33000|100|2016-02-08
33000|100|2016-02-08
33600|100|2016-02-08
65000|200|2016-02-08
66000|204|2016-02-08
357000|1000|2016-02-08
33000|100|2016-02-08
34650|100|2016-02-08
33000|100|2016-02-08
33600|100|2016-02-08
33600|100|2016-02-07
33075|100|2016-02-07
33600|100|2016-02-07
37044|100|2016-02-07
37044|100|2016-02-07
37044|100|2016-02-07
36466|100|2016-02-07
36466|100|2016-02-07
36466|100|2016-02-07
36466|100|2016-02-07
37161|100|2016-02-07
32000|100|2016-02-06
31500|100|2016-02-06
31500|100|2016-02-06
33600|100|2016-02-06
33075|100|2016-02-06
33075|100|2016-02-06
34545|100|2016-02-06
34729|100|2016-02-06
33075|100|2016-02-06
33075|100|2016-02-06
33600|100|2016-02-06
32000|100|2016-02-06
32000|100|2016-02-06
30000|100|2016-02-06
33600|100|2016-02-06
33075|100|2016-02-06
330000|1000|2016-02-06
32000|100|2016-02-05
105000|334|2016-02-05
350000|1000|2016-02-05
32100|101|2016-02-05
32010|100|2016-02-05
32000|100|2016-02-05
33075|100|2016-02-05
33075|100|2016-02-05
33075|100|2016-02-05
33075|100|2016-02-05
82961|250|2016-02-05
33590|100|2016-02-05
33075|100|2016-02-05
34178|100|2016-02-04
33075|100|2016-02-04
34729|100|2016-02-04
33483|100|2016-02-04
33075|100|2016-02-04
33000|100|2016-02-04
330000|1000|2016-02-04
330000|1000|2016-02-03
33000|100|2016-02-03
330750|1000|2016-02-04
104999|300|2016-02-03
33075|100|2016-02-03
400000|1229|2016-02-03
31500|100|2016-02-03
65500|200|2016-02-03
65500|200|2016-02-03
39900|131|2016-02-03
31500|100|2016-02-03
160000|500|2016-02-03
170000|589|2016-02-02
31502|100|2016-02-02
333333|1000|2016-02-02
30000|100|2016-02-02
31500|100|2016-02-02
168000|500|2016-02-02
160000|500|2016-02-02
34729|100|2016-02-02
34729|100|2016-02-02
160000|500|2016-02-02
33075|100|2016-02-02
33075|100|2016-02-02
69300|200|2016-02-02
68775|200|2016-02-02
98000|300|2016-02-02
34729|100|2016-02-02
33075|100|2016-02-02
34729|100|2016-02-01
34178|100|2016-02-01
620000|2000|2016-02-01
310000|1000|2016-02-01
620000|2000|2016-02-01
325500|1000|2016-02-01
332325|1000|2016-02-01
66153|200|2016-02-01
35737|100|2016-02-01
30000|100|2016-02-01
50000|150|2016-01-31
33075|101|2016-01-31
36872|100|2016-01-31
72935|200|2016-01-31
33338|100|2016-01-31
36756|100|2016-01-31
36466|100|2016-01-31
36756|100|2016-01-31
36756|100|2016-01-31
31750|101|2016-01-31
300000|1000|2016-01-31
33075|100|2016-01-30
33075|100|2016-01-30
33285|100|2016-01-30
31000|100|2016-01-30
33075|101|2016-01-30
31700|100|2016-01-30
